#NAME	A1	A2	A3	A7	A8	A9
ASV_378	0	0	0	0	0	130
ASV_379	43	40	46	0	0	0
ASV_380	0	0	0	53	30	46
ASV_381	0	0	0	51	25	53
ASV_382	72	0	56	0	0	0
ASV_383	63	65	0	0	0	0
ASV_384	25	51	52	0	0	0
ASV_385	32	42	53	0	0	0
ASV_386	0	0	0	78	0	49
ASV_387	0	0	0	67	22	38
ASV_388	0	0	0	64	0	63
ASV_389	51	51	24	0	0	0
ASV_390	0	0	0	70	0	56
ASV_391	0	0	0	74	22	29
ASV_392	0	0	0	74	0	51
ASV_393	0	0	0	39	29	57
ASV_394	61	0	63	0	0	0
ASV_395	37	38	49	0	0	0
ASV_396	0	42	82	0	0	0
ASV_397	42	34	47	0	0	0
ASV_398	34	45	44	0	0	0
ASV_399	33	43	47	0	0	0
ASV_400	0	0	0	58	30	35
ASV_401	36	52	34	0	0	0
ASV_402	35	36	51	0	0	0
ASV_403	0	79	43	0	0	0
ASV_404	0	0	0	54	36	32
ASV_405	0	0	0	0	44	78
ASV_406	39	24	58	0	0	0
ASV_407	38	38	45	0	0	0
ASV_408	43	37	39	0	0	0
ASV_409	7	0	0	50	30	32
ASV_410	0	0	0	60	24	35
ASV_411	0	0	0	57	0	62
ASV_412	39	38	41	0	0	0
ASV_413	0	0	0	70	0	48
ASV_414	0	0	0	55	30	33
ASV_415	0	0	0	41	32	45
ASV_416	38	41	38	0	0	0
ASV_417	0	0	0	51	24	42
ASV_418	58	0	58	0	0	0
ASV_419	38	43	35	0	0	0
ASV_420	35	29	52	0	0	0
ASV_421	0	0	0	40	38	38
ASV_422	32	36	38	0	0	9
ASV_423	55	22	37	0	0	0
ASV_424	32	41	41	0	0	0
ASV_425	38	0	45	30	0	0
ASV_426	0	0	0	70	0	43
ASV_427	62	0	50	0	0	0
ASV_428	0	0	0	73	31	8
ASV_429	59	0	52	0	0	0
ASV_430	55	0	56	0	0	0
ASV_431	39	0	72	0	0	0
ASV_432	0	71	40	0	0	0
ASV_433	0	0	0	41	22	48
ASV_434	0	0	0	31	28	52
ASV_435	0	0	0	26	46	39
ASV_436	31	35	44	0	0	0
ASV_437	15	0	30	19	16	30
ASV_438	0	0	0	51	23	36
ASV_439	0	0	0	49	0	60
ASV_440	0	0	0	27	13	69
ASV_441	55	0	53	0	0	0
ASV_442	46	32	30	0	0	0
ASV_443	29	41	38	0	0	0
ASV_444	0	0	108	0	0	0
ASV_445	0	0	0	53	22	33
ASV_446	0	0	0	53	0	55
ASV_447	0	0	0	48	28	32
ASV_448	0	0	0	43	35	30
ASV_449	41	25	41	0	0	0
ASV_450	0	80	27	0	0	0
ASV_451	0	0	0	56	0	51
ASV_452	44	31	31	0	0	0
ASV_453	32	36	38	0	0	0
ASV_454	0	0	0	42	31	33
ASV_455	56	0	49	0	0	0
ASV_456	50	0	55	0	0	0
ASV_457	37	28	40	0	0	0
ASV_458	36	31	38	0	0	0
ASV_459	11	0	0	32	21	40
ASV_460	0	0	0	56	12	36
ASV_461	0	0	0	39	32	33
ASV_462	66	0	37	0	0	0
ASV_463	48	55	0	0	0	0
ASV_464	0	0	0	45	19	39
