Kingdom	Phylum	Class	Order	Family	Genus	A1	A2	A3	A7	A8	A9
210	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	7	0	0	121	46	58
211	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	79	74	77	0	0	0
212	Bacteria	Chloroflexi	AD3	NA	NA	NA	91	44	94	0	0	0
213	Bacteria	Chloroflexi	Ktedonobacteria	B12-WMSP1	NA	NA	0	0	0	90	66	73
214	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	NA	0	0	0	88	66	75
215	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	100	50	77	0	0	0
216	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	NA	75	56	95	0	0	0
217	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	62	56	105	0	0	0
218	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	0	0	0	74	51	96
219	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylovirgula	63	74	83	0	0	0
220	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	0	0	0	74	77	69
221	Bacteria	WPS-2	NA	NA	NA	NA	60	71	88	0	0	0
222	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	0	0	0	104	44	71
223	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	76	67	75	0	0	0
224	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	0	0	0	100	51	67
225	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	0	0	0	72	69	76
226	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	59	62	95	0	0	0
227	Archaea	Crenarchaeota	Nitrososphaeria	Group 1.1c	NA	NA	101	29	85	0	0	0
228	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	0	0	0	101	41	70
229	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	0	0	0	91	46	75
230	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	71	59	81	0	0	0
231	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidicaldus	113	0	96	0	0	0
232	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	0	0	0	88	40	81
233	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	0	0	0	96	40	71
234	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	81	56	69	0	0	0
235	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	0	0	0	114	35	55
236	Bacteria	Myxococcota	bacteriap25	NA	NA	NA	6	9	0	114	0	74
237	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	0	0	0	69	54	80
238	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	0	0	0	106	31	64
